# Direct replacements for C0-terminated story records verified in a cold boot.
# id	file offset	original length	Korean	status
C0-05AF11	0x05AF11	002B	[DFT][E2:0280]소지품이 가득 찼나?[FIN]정리할까?˳	cold-boot-early-scene
C0-05AFDA	0x05AFDA	002D	[DFT][E2:027E]··[NAM:00] 맞지?\n아빠 눈은 못 속여!˳	cold-boot-early-scene
C0-06C3BE	0x06C3BE	003C	[DFT][E2:043B]내가 볼게.\n[PAL:02]개를 찾아줘![PAL:00]\n개가 약을 갖고 있대.˳	live-game-screen
C0-06C3FB	0x06C3FB	002B	[DFT][E2:043E]너구나!\n다행이야.\n이제 움직여!	live-game-screen
C0-06C427	0x06C427	006D	[DF4][E2:0481]너! 아직 있었네!?\n[PAU:28]…라고 할 뻔했지만\n마침 잘 왔어.[FIN]이 사람 다쳤어.\n[PAL:02]개를 찾아줘![PAL:00]\n개가 약을 갖고 있대.˳	live-game-screen
C0-06C495	0x06C495	0033	[DFT][E2:044B]야, 너!\n다친 사람을 두고 가는 거야?\n얘기 정도는 듣고 가!	live-game-screen
C0-06C4C9	0x06C4C9	007C	[DFT][E2:0445]자, [PAU:1E]취재 재개야!\n해커들이 이 저택에서\n뭔가 하는 건 알아냈어.[FIN]녀석들의 목적이 뭔지\n밝혀서 기사로 써야 해!\n[PAU:1E]그럼 플라보노 씨, 몸조심해.\n[PAU:1E][NAM:00]군은 어서 돌아가!	live-game-screen
C0-06C655	0x06C655	0149	[DFT]낯익은데…\n[PAU:1E]응? 네가 [NAM:00]군인가?\n[PAU:1E]아버지를 닮았구나.[FIN]나는 [PAL:02]플라보노야.\n[PAU:1E][PAL:00]네 아버지의 지인이지.\n네 아버지와\n함께 있었는데…[FIN]아야…\n[PAU:1E]해커라는 녀석들에게\n쫓겨 이 안으로\n도망쳤다가 허리를 다쳤어.[FIN][PAL:02]가방을\n찾아주겠나?\n[PAL:00]내 개가 갖고 있을 거야.\n하얀 개, 파슬리라는 녀석이지.[FIN][JMP]そ[BOX:D7E00F]파슬리는 하얗고 작은 개야.\n등에는 보자기를 메고 있어.[FIN]그리고 [PAL:02]반짝이는 걸 좋아해.[PAL:00]\n반짝이는 걸 보여주면\n기뻐하며 가까이 올 거야.˳	live-game-screen
C0-06C79F	0x06C79F	0021	[DFT][E2:0F3F]오, 파슬리를 데려왔구나!\n덕분에 살았어!	live-game-screen
C0-0680C0	0x0680C0	003C	[DFT][PAL:02] 위험!\n 동굴 안은\n 위험합니다!\n\n 로코코 보안회[PAL:00]	cave-sequence
C0-06810E	0x06810E	003E	[DFT][PAL:02] 위험! 땅이 갈라집니다\n 출입 금지\n\n 로코코 안전회[PAL:00]	cave-sequence
C0-0682A6	0x0682A6	0033	[DFT]페퍼 박사가\n폭탄으로 바위를\n날려 준대!	cave-sequence
C0-06839C	0x06839C	0036	[DFT]이 아저씨는\n대단한 발명가래.\n실력도 좋겠지?	cave-sequence
C0-0688A4	0x0688A4	0032	[DF4][E2:0549]폭파 시작!\n명장면의 시작입니다!	cave-sequence
C0-0688D7	0x0688D7	0037	[DF4][E2:0581]폭파 성공!\n아이들은 살았어!\n사례는…˳	cave-sequence
C0-06892F	0x06892F	001F	[DFT]폭탄이 가득 든 상자다.˳	cave-sequence
C0-06894F	0x06894F	0024	[DFT]폭탄 상자는 비어 있어!	cave-sequence
C0-068A5C	0x068A5C	0018	[DFT]폭발음이 들렸다.˳	cave-sequence
C0-068B1B	0x068B1B	001E	[DFT]아이 울음소리가 들려.˳	cave-sequence
